Area,Competition,Gender,Category,Season,Matches,Tagged
,,,,2016/2017,306,0%
,,,,2017/2018,144,0%
,,,,2022/2023,240,37%
,,,,2023/2024,240,96%
,,,,2024/2025,118,87%
,1. Liga Women,Female,Senior,2015/2016,80,0%
,,,,2016/2017,80,0%
,,,,2017/2018,76,0%
,,,,2018/2019,79,0%
,,,,2019/2020,52,0%
Czech Republic,1. Liga Women,Female,Senior,2020/2021,80,0%
,,,,2021/2022,80,0%
,,,,2022/2023,80,39%
,,,,2023/2024,80,94%
,,,,2024/2025,40,90%
,2. Liga Women,Female,Senior,2015/2016,79,0%
,,,,2016/2017,63,0%
,,,,2017/2018,44,0%
,3. liga,Male,Senior,2015/2016,582,0%
,,,,2016/2017,546,0%
,,,,2017/2018,543,0%
,,,,2018/2019,525,0%
,,,,2019/2020,416,73%
,,,,2020/2021,220,0%
,,,,2021/2022,755,0%
,,,,2022/2023,788,0%
,,,,2023/2024,788,0%
,,,,2024/2025,406,0%
",4. liga,Male,Senior,2015/2016,""1,171"",0%"
",,,,2016/2017,""1,200"",0%"
",,,,2017/2018,""1,169"",0%"
",,,,2018/2019,""1,181"",0%"
,,,,2019/2020,657,0%
,,,,2020/2021,388,0%
",,,,2021/2022,""1,268"",1%"
",,,,2022/2023,""1,267"",0%"
,Chance Liga,Male,Senior,2015/2016,240,98%
,,,,2016/2017,240,100%
,,,,2017/2018,240,100%
,,,,2018/2019,277,100%
,,,,2019/2020,271,100%
,,,,2020/2021,306,100%
,,,,2021/2022,276,100%
,,,,2022/2023,276,100%
,,,,2023/2024,277,100%
,,,,2024/2025,152,100%
,Chance National Liga,Male,Senior,2015/2016,210,0%
,,,,2016/2017,240,38%
,,,,2017/2018,240,91%
,,,,2018/2019,240,93%
,,,,2019/2020,240,93%
,,,,2020/2021,182,95%
,,,,2021/2022,240,90%
,,,,2022/2023,240,98%
,,,,2023/2024,240,97%
,,,,2024/2025,128,100%
Czech Republic,Cup,Male,Senior,2015/2016,148,1%
,,,,2016/2017,137,4%
,,,,2017/2018,140,4%
,,,,2018/2019,31,0%
,,,,2019/2020,31,32%
,,,,2020/2021,30,33%
,,,,2021/2022,31,26%
,,,,2022/2023,31,90%
,,,,2023/2024,31,0%
,,,,2024/2025,16,0%
,Juniorská liga,Male,Youth,2015/2016,272,0%
,,,,2016/2017,240,0%
,,,,2017/2018,239,0%
,,,,2018/2019,33,0%
,Play-Offs 1/2,Male,Senior,2018/2019,4,0%
,,,,2021/2022,4,100%
,,,,2022/2023,4,100%
,,,,2023/2024,4,100%
,Super Cup,Male,Senior,2015/2016,1,100%
,Tipsport Liga,Male,Senior,2017,28,0%
,,,,2018,21,0%
,,,,2019,28,0%
,,,,2020,28,7%
,,,,2021,16,0%
,,,,2022,30,0%
,U17 League,Male,Youth,2022/2023,240,34%
,,,,2023/2024,239,90%
,,,,2024/2025,118,71%
,Women's Cup,Female,Senior,2015/2016,38,0%
,,,,2016/2017,33,0%
,,,,2017/2018,29,0%
Denmark,1st Division,Male,Senior,2015/2016,198,36%
,,,,2016/2017,198,80%
,,,,2017/2018,198,90%
,,,,2018/2019,198,95%
,,,,2019/2020,198,99%
,,,,2020/2021,192,100%
,,,,2021/2022,192,97%
,,,,2022/2023,192,99%
,,,,2023/2024,192,100%
,,,,2024/2025,108,100%
,1st Division Women,Female,Senior,2015/2016,172,0%
,,,,2016/2017,172,0%
,,,,2017/2018,112,0%
,2nd Division,Male,Senior,2015/2016,360,0%
,,,,2016/2017,360,0%
Denmark,2nd Division,Male,Senior,2017/2018,360,36%
,,,,2018/2019,396,78%
,,,,2019/2020,276,88%
,,,,2020/2021,364,95%
,,,,2021/2022,192,95%
,,,,2022/2023,177,86%
,,,,2023/2024,192,96%
,,,,2024/2025,96,95%
,3. Division,Male,Senior,2021/2022,192,80%
,,,,2022/2023,192,88%
,,,,2023/2024,192,77%
,,,,2024/2025,96,91%
,DBU Pokalen,Male,Senior,2015/2016,108,2%
,,,,2016/2017,106,11%
,,,,2017/2018,100,16%
,,,,2018/2019,35,54%
,,,,2019/2020,34,50%
,,,,2020/2021,37,70%
,,,,2021/2022,37,76%
,,,,2022/2023,42,90%
,,,,2023/2024,38,74%
,,,,2024/2025,34,74%
,Denmark Series,Male,Senior,2015/2016,549,0%
,,,,2016/2017,540,1%
,,,,2017/2018,496,0%
,Elitedivisionen,Female,Senior,2015/2016,86,0%
,,,,2016/2017,86,0%
,,,,2017/2018,86,19%
,,,,2018/2019,86,83%
,,,,2019/2020,71,85%
,,,,2020/2021,86,69%
,,,,2021/2022,86,98%
,,,,2022/2023,86,99%
,,,,2023/2024,86,100%
,,,,2024/2025,56,100%
,Play-offs 1/2,Male,Senior,2016/2017,12,100%
,,,,2017/2018,12,100%
,Reserve League,Male,Senior,2015/2016,115,0%
,,,,2016/2017,111,40%
,,,,2017/2018,80,29%
,,,,2018/2019,70,24%
,,,,2019/2020,18,72%
,,,,2020/2021,11,36%
,Superliga,Male,Senior,2015/2016,198,98%
,,,,2016/2017,243,100%
,,,,2017/2018,243,100%
Denmark,Superliga,Male,Senior,2018/2019,251,100%
,,,,2019/2020,243,100%
,,,,2020/2021,193,100%
,,,,2021/2022,193,100%
,,,,2022/2023,193,100%
,,,,2023/2024,193,100%
,,,,2024/2025,102,100%
,U14 League Øst 1,Male,Youth,2024/2025,10,70%
,U15 League 1,Male,Youth,2024 Efterar,13,77%
,U15 League 2,Male,Youth,2023,6,67%
,,,,2024 Forar,14,79%
,U15 League Øst 2,Male,Youth,2024 Efterar,10,100%
,U15 Ligaen,Male,Youth,2019/2020,89,79%
,,,,2020/2021,181,93%
,,,,2021/2022,182,95%
,,,,2022/2023,182,91%
,,,,2023/2024,182,95%
,,,,2024/2025,84,92%
,U15 Regional Talent Center,Female,Youth,2023/2024,5,100%
,,,,2024/2025,2,100%
,,Male,Youth,2021/2022,8,75%
,,,,2022/2023,7,100%
,,,,2023/2024,8,100%
,,,,2024/2025,2,100%
,U16 League,Female,Youth,2022/2023,176,80%
,,,,2023/2024,168,83%
,,,,2024/2025,83,73%
,U17 Division,Male,Youth,2016/2017,156,76%
,,,,2017/2018,182,82%
,,,,2018/2019,182,87%
,,,,2019/2020,116,90%
,,,,2020/2021,209,94%
,,,,2021/2022,240,84%
,,,,2022/2023,240,87%
,,,,2023/2024,240,90%
,,,,2024/2025,111,92%
,U17 League 1,Male,Youth,2023,5,100%
,,,,2024 Efterar,13,92%
,,,,2024 Forar,14,100%
,U17 Ligaen,Male,Youth,2015/2016,182,0%
,,,,2016/2017,182,85%
,,,,2017/2018,182,91%
,,,,2018/2019,156,92%
,,,,2019/2020,90,87%
,,,,2020/2021,182,95%
,,,,2021/2022,182,90%
Denmark,U17 Ligaen,Male,Youth,2022/2023,182,92%
,,,,2023/2024,182,95%
,,,,2024/2025,86,97%
,U18 League,Female,Youth,2022/2023,168,83%
,U19 Division,Male,Youth,2016/2017,132,77%
,,,,2017/2018,156,86%
,,,,2018/2019,182,85%
,,,,2019/2020,116,85%
,,,,2020/2021,210,91%
,,,,2021/2022,239,85%
,,,,2022/2023,240,88%
,,,,2023/2024,240,88%
,,,,2024/2025,112,88%
,U19 League,Female,Youth,2023/2024,168,84%
,,,,2024/2025,82,83%
,U19 League 1,Male,Youth,2023,6,83%
,,,,2024 Efterår,14,100%
,U19 League 2,Male,Youth,2024 forår,12,75%
,U19 Ligaen,Male,Youth,2015/2016,132,0%
,,,,2016/2017,132,89%
,,,,2017/2018,132,92%
,,,,2018/2019,132,89%
,,,,2019/2020,105,92%
,,,,2020/2021,182,95%
,,,,2021/2022,182,94%
,,,,2022/2023,182,95%
,,,,2023/2024,182,93%
,,,,2024/2025,87,97%
,U21 Ligaen,Male,Youth,2015,78,0%
,,,,2016,55,0%
,,,,2016/2017,42,0%
,,,,2017,42,0%
,,,,2017/2018,41,0%
,Women's Cup,Female,Senior,2015/2016,32,0%
,,,,2016/2017,33,0%
,,,,2017/2018,24,0%
,,,,2020/2021,1,0%
,,,,2023/2024,3,67%
,,,,2024/2025,2,100%
,Women's Play-offs 1/2,Female,Senior,2015/2016,30,0%
,,,,2016/2017,30,0%
,,,,2022/2023,30,0%
,,,,2023/2024,30,0%
Djibouti,Division 1,Male,Senior,2015/2016,90,0%
,,,,2016/2017,90,0%
,,,,2017/2018,31,0%
Dominica,Premier League,Male,Senior,2015/2016,39,0%
,,,,2016/2017,86,0%
,,,,2017/2018,8,0%
Dominican Republic,Liga Mayor,Male,Senior,2016,95,0%
,,,,2017,99,0%
,,,,2024,120,94%
Ecuador,Copa Ecuador,Male,Senior,2018/2019,61,2%
,,,,2022,41,0%
,,,,2024,1,0%
,Copa Sudamericana Play-Offs - Final,Male,Senior,2017,2,0%
,,,,2018,2,0%
,Liga Pro,Male,Senior,2016,264,56%
,,,,2017,266,91%
,,,,2018,266,94%
,,,,2019,252,100%
,,,,2020,242,98%
,,,,2021,242,99%
,,,,2022,242,100%
,,,,2023,242,100%
,,,,2024,242,99%
,Liga Pro Serie B,Male,Senior,2016,264,0%
,,,,2017,264,0%
,,,,2021,180,0%
,,,,2022,180,0%
,,,,2023,179,74%
,,,,2024,180,70%
,Supercopa de Ecuador,Male,Senior,2020,1,0%
,,,,2021,5,0%
,,,,2023,1,0%
Egypt,Cup,Male,Senior,2016,31,0%
,,,,2016/2017,31,0%
,,,,2017/2018,31,0%
,,,,2018/2019,31,0%
,,,,2019/2020,31,52%
,,,,2020/2021,31,61%
,,,,2021/2022,31,68%
,,,,2022/2023,31,58%
,,,,2023/2024,30,47%
,,,,2024/2025,14,0%
,League Cup,Male,Senior,2021/2022,49,0%
,,,,2022/2023,16,100%
,,,,2023/2024,31,97%
,,,,2024/2025,7,100%
,Premier League,Male,Senior,2015/2016,307,0%
,,,,2016/2017,306,0%
,,,,2017/2018,302,1%
Egypt,Premier League,Male,Senior,2018/2019,306,89%
,,,,2019/2020,306,98%
,,,,2020/2021,306,99%
,,,,2021/2022,306,99%
,,,,2022/2023,306,99%
,,,,2023/2024,306,99%
,,,,2024/2025,72,99%
,Super Cup,Male,Senior,2015,1,0%
,,,,2016,1,0%
,,,,2017,1,0%
,,,,2019,1,0%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,4,100%
,,,,2024/2025,4,100%
El Salvador,Copa El Salvador,Male,Senior,2016/2017,87,0%
,Primera Division,Male,Senior,2015/2016,290,0%
,,,,2016/2017,290,3%
,,,,2017/2018,291,22%
,,,,2018/2019,290,54%
,,,,2019/2020,207,56%
,,,,2020/2021,218,54%
,,,,2021/2022,290,57%
,,,,2022/2023,211,58%
,,,,2023/2024,289,59%
,,,,2024/2025,123,49%
England,Alan Turvey Trophy,Male,Senior,2015/2016,7,0%
,,,,2016/2017,15,0%
,,,,2017/2018,49,0%
,Barclays Women's Super League,Female,Senior,2016,72,0%
,,,,2017,36,94%
,,,,2017/2018,90,99%
,,,,2018/2019,110,97%
,,,,2019/2020,87,98%
,,,,2020/2021,131,100%
,,,,2021/2022,132,100%
,,,,2022/2023,132,100%
,,,,2023/2024,132,100%
,,,,2024/2025,60,100%
,Barclays Womens Championship,Female,Senior,2016,90,0%
,,,,2017,45,0%
,,,,2017/2018,66,0%
,,,,2018/2019,1,0%
,,,,2019/2020,74,86%
England,Barclays Womens Championship,Female,Senior,2020/2021,110,99%
,,,,2021/2022,132,100%
,,,,2022/2023,132,100%
,,,,2023/2024,132,99%
,,,,2024/2025,54,100%
,BBFA Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Bedfordshire Senior Challenge Cup,Male,Senior,2015/2016,5,0%
,,,,2016/2017,7,0%
,,,,2017/2018,4,0%
,Birmingham Senior Cup,Male,Senior,2015/2016,5,0%
,,,,2016/2017,7,0%
,Carabao Cup,Male,Senior,2015/2016,93,31%
,,,,2016/2017,93,95%
,,,,2017/2018,93,97%
,,,,2018/2019,93,100%
,,,,2019/2020,92,98%
,,,,2020/2021,90,100%
,,,,2021/2022,92,100%
,,,,2022/2023,93,100%
,,,,2023/2024,93,100%
,,,,2024/2025,90,100%
,Central League,Male,Senior,2015/2016,154,0%
,,,,2016/2017,112,0%
,,,,2017/2018,22,0%
,,,,2022/2023,29,55%
,,,,2023/2024,8,75%
,,,,2024/2025,3,67%
,Central League Cup,Male,Senior,2015/2016,40,0%
,,,,2016/2017,48,0%
,,,,2017/2018,25,0%
,,,,2022/2023,7,71%
,,,,2023/2024,4,100%
,,,,2024/2025,5,60%
,Championship,Male,Senior,2015/2016,557,100%
,,,,2016/2017,557,100%
,,,,2017/2018,557,100%
,,,,2018/2019,557,100%
,,,,2019/2020,557,100%
,,,,2020/2021,557,100%
,,,,2021/2022,557,100%
,,,,2022/2023,557,100%
,,,,2023/2024,557,100%
,,,,2024/2025,311,100%
,Cheshire Senior Cup,Male,Senior,2015/2016,22,0%
,,,,2016/2017,22,0%
England,Community Shield,Male,Senior,2015/2016,1,100%
,,,,2016/2017,1,100%
,,,,2017/2018,1,100%
,,,,2018/2019,1,100%
,,,,2019/2020,1,100%
,,,,2020/2021,1,100%
,,,,2021/2022,1,100%
,,,,2022/2023,1,100%
,,,,2023/2024,1,100%
,,,,2024/2025,1,100%
,Cumberland Senior Cup,Male,Senior,2016/2017,7,0%
,Derbyshire Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Durham County Challenge Cup,Male,Senior,2015/2016,15,0%
,,,,2016/2017,15,0%
,East Riding Senior Cup,Male,Senior,2016/2017,7,0%
,Essex Senior Cup,Male,Senior,2016/2017,3,0%
,FA Cup,Male,Senior,2015/2016,887,5%
,,,,2016/2017,880,7%
,,,,2017/2018,884,7%
,,,,2018/2019,150,63%
,,,,2019/2020,156,58%
,,,,2020/2021,126,76%
,,,,2021/2022,139,64%
,,,,2022/2023,147,59%
,,,,2023/2024,95,95%
,,,,2024/2025,1,0%
,FA Trophy,Male,Senior,2015/2016,329,0%
,,,,2016/2017,341,2%
,,,,2017/2018,312,0%
,,,,2020/2021,8,38%
,,,,2021/2022,2,0%
,,,,2022/2023,2,0%
,,,,2023/2024,2,0%
,FA Vase,Male,Senior,2015/2016,244,0%
,,,,2016/2017,239,0%
,,,,2017/2018,206,0%
,FA Women's Cup,Female,Senior,2015/2016,66,0%
,,,,2016/2017,73,0%
,,,,2017/2018,51,0%
,,,,2019/2020,7,86%
,,,,2020/2021,16,81%
,,,,2021/2022,31,100%
,,,,2022/2023,31,100%
,,,,2023/2024,31,100%
,,,,2024/2025,13,0%
England,FA Women's National Lea..,Female,NULL,2024/2025,7,100%
,FA Youth Cup,Male,Youth,2015/2016,66,0%
,,,,2016/2017,66,6%
,,,,2017/2018,31,0%
,,,,2018/2019,22,0%
,,,,2019/2020,17,0%
,,,,2020/2021,15,7%
,,,,2021/2022,16,13%
,,,,2022/2023,17,0%
,,,,2023/2024,15,0%
,Gloucester Senior Challenge Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,1,0%
,Hertfordshire Senior Chal..,Male,Senior,2016/2017,6,0%
,Hudl Independent Schools League,Male,Youth,2023/2024,36,67%
,,,,2024/2025,23,91%
,Huntingdonshire Senior Cup,Male,Senior,2015/2016,3,0%
,,,,2016/2017,5,0%
,,,,2017/2018,2,0%
,Isthmian Football League ..,Male,Youth,2023/2024,16,88%
,Kent Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,2,0%
,Lancashire FA Challenge Trophy,Male,Senior,2015/2016,3,0%
,,,,2016/2017,7,0%
,,,,2017/2018,4,0%
,Lancashire Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,2,0%
,League One,Male,Senior,2015/2016,557,100%
,,,,2016/2017,557,100%
,,,,2017/2018,557,100%
,,,,2018/2019,557,100%
,,,,2019/2020,405,100%
,,,,2020/2021,557,100%
,,,,2021/2022,557,100%
,,,,2022/2023,557,100%
,,,,2023/2024,557,100%
,,,,2024/2025,288,100%
,League Two,Male,Senior,2015/2016,557,99%
,,,,2016/2017,557,100%
,,,,2017/2018,557,100%
,,,,2018/2019,557,100%
,,,,2019/2020,445,100%
,,,,2020/2021,557,100%
,,,,2021/2022,557,100%
England,League Two,Male,Senior,2022/2023,557,100%
,,,,2023/2024,557,100%
,,,,2024/2025,288,100%
,Leicestershire and Rutland Challenge Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,6,0%
,Liverpool Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,3,0%
,London Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Manchester Premier Cup,Male,Senior,2015/2016,3,0%
,,,,2016/2017,7,0%
,,,,2017/2018,4,0%
,Manchester Senior Cup,Male,Senior,2015/2016,3,0%
,National League,Male,Senior,2015/2016,557,0%
,,,,2016/2017,557,84%
,,,,2017/2018,557,99%
,,,,2018/2019,557,97%
,,,,2019/2020,456,99%
,,,,2020/2021,467,97%
,,,,2021/2022,511,99%
,,,,2022/2023,557,99%
,,,,2023/2024,556,100%
,,,,2024/2025,304,99%
,National League N / S,Male,Senior,2015/2016,934,0%
,,,,2016/2017,934,0%
,,,,2017/2018,934,0%
,,,,2021/2022,892,94%
",,,,2022/2023,""1,114"",97%"
",,,,2023/2024,""1,114"",98%"
,,,,2024/2025,595,97%
,National League U19 Allia..,Male,Youth,2023/2024,15,87%
,Nike Academy,Male,Senior,2016/2017,6,0%
",Non League Div One,Male,Senior,2015/2016,""2,970"",0%"
",,,,2016/2017,""2,970"",0%"
",,,,2017/2018,""1,955"",0%"
,,,,2024/2025,44,57%
",Non League Premier,Male,Senior,2015/2016,""1,665"",0%"
",,,,2016/2017,""1,665"",0%"
",,,,2017/2018,""1,420"",0%"
,,,,2023/2024,42,38%
,,,,2024/2025,658,61%
,Norfolk Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,North Riding Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
England,Northamptonshire Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,4,0%
,Northern Premier League Challenge Cup,Male,Senior,2015/2016,15,0%
,,,,2016/2017,15,0%
,,,,2017/2018,48,0%
,Northumberland Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Nottinghamshire Saturday Senior Cup,Male,Senior,2015/2016,3,0%
,,,,2016/2017,7,0%
,Oxfordshire Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Papa John’s EFL Trophy,Male,Senior,2015/2016,49,0%
,,,,2016/2017,127,92%
,,,,2017/2018,132,96%
,,,,2018/2019,127,99%
,,,,2019/2020,124,99%
,,,,2020/2021,127,100%
,,,,2021/2022,127,98%
,,,,2022/2023,127,100%
,,,,2023/2024,127,100%
,,,,2024/2025,118,100%
,Pass4Soccer Academy,Male,Senior,2018,2,100%
,Premier League,Male,Senior,2015/2016,380,100%
,,,,2016/2017,380,100%
,,,,2017/2018,380,100%
,,,,2018/2019,380,100%
,,,,2019/2020,380,100%
,,,,2020/2021,380,100%
,,,,2021/2022,380,100%
,,,,2022/2023,380,100%
,,,,2023/2024,380,100%
,,,,2024/2025,207,100%
,Premier League 2,Male,Youth,2017/2018,132,30%
,,,,2018/2019,132,20%
,,,,2019/2020,109,20%
,,,,2020/2021,156,42%
,,,,2021/2022,182,23%
,,,,2022/2023,183,27%
,,,,2023/2024,274,60%
,,,,2024/2025,134,56%
,Premier League 2 Division Two,Male,Youth,2017/2018,119,1%
,,,,2018/2019,38,0%
,,,,2019/2020,16,94%
,,,,2020/2021,24,79%
,,,,2021/2022,185,9%
England,Two,Male,Youth,2022/2023,114,16%
,Premier League Cup,Male,Youth,2015/2016,49,2%
,,,,2016/2017,116,3%
,,,,2017/2018,88,0%
,,,,2018/2019,11,0%
,,,,2019/2020,7,0%
,,,,2021/2022,5,60%
,,,,2022/2023,6,33%
,Premier League Division One Women,Female,Senior,2015/2016,486,0%
,,,,2016/2017,505,0%
,,,,2017/2018,285,0%
,,,,2024/2025,5,40%
,Pro Academy Series U14,Male,Youth,2021,22,27%
,Professional Development League,Male,Youth,2015/2016,313,0%
,,,,2016/2017,283,0%
,,,,2017/2018,134,6%
,,,,2021/2022,203,0%
,,,,2022/2023,283,61%
,,,,2023/2024,314,62%
,,,,2024/2025,164,72%
,Professional Game Acade..,Female,NULL,2024/2025,12,92%
,Professional Game Academy League,Female,Senior,2020/2021,42,7%
,,,,2021/2022,169,55%
,,,,2022/2023,183,72%
,,,,2023/2024,224,85%
,,,,2024/2025,105,96%
,Sheffield and Hallamshire..,Male,Senior,2016/2017,6,0%
,Somerset Premier Cup,Male,Senior,2016/2017,6,0%
,South West Regional Women's Football League,Female,Senior,2023/2024,17,53%
,,,,2024/2025,11,100%
,Southern League Cup,Male,Senior,2015/2016,16,0%
,,,,2016/2017,15,0%
,,,,2017/2018,49,0%
,Staffordshire Senior Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Suffolk FA Premier Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,Surrey Senior Cup,Male,Senior,2016/2017,7,0%
,Sussex Senior Challenge C..,Male,Senior,2016/2017,5,0%
,U13 Championship,Male,Senior,2017/2018,2,100%
,U18 Premier League,Male,Youth,2015/2016,348,0%
,,,,2016/2017,348,8%
,,,,2017/2018,265,11%
,,,,2018/2019,265,7%
,,,,2019/2020,195,10%
,,,,2020/2021,313,7%
England,U18 Premier League,Male,Youth,2021/2022,365,8%
,,,,2022/2023,289,26%
,,,,2023/2024,313,58%
,,,,2024/2025,138,62%
,U18 Premier League Cup,Male,Youth,2017/2018,36,0%
,U18 Professional Development League,Male,Youth,2015/2016,313,0%
,,,,2016/2017,283,0%
,,,,2017/2018,215,0%
,,,,2021/2022,201,0%
,,,,2022/2023,283,55%
,,,,2023/2024,313,55%
,,,,2024/2025,169,67%
,U21 Premier League Division 1 (OLD),Male,Youth,2015/2016,132,38%
,,,,2016/2017,132,41%
,U21 Premier League Division 2 (OLD),Male,Youth,2015/2016,135,1%
,,,,2016/2017,135,0%
,West Riding County Cup,Male,Senior,2015/2016,7,0%
,,,,2016/2017,7,0%
,,,,2017/2018,2,0%
,Women's FA Community S..,Female,Senior,2020/2021,1,0%
,Women's League Cup,Female,Senior,2015,52,0%
,,,,2016,18,0%
,,,,2017/2018,40,0%
,,,,2020/2021,38,95%
,,,,2021/2022,45,100%
,,,,2022/2023,44,100%
,,,,2023/2024,48,100%
,,,,2024/2025,30,100%
,Women's National League - Premier Division,Female,Senior,2015/2016,265,0%
,,,,2016/2017,221,0%
,,,,2017/2018,170,0%
,,,,2023/2024,44,66%
,,,,2024/2025,34,97%
,Youth Alliance,Male,Youth,2015/2016,698,0%
,,,,2016/2017,698,0%
,,,,2017/2018,331,0%
,,,,2022/2023,17,6%
,,,,2024/2025,12,83%
,Youth Alliance Cup,Male,Youth,2015/2016,49,0%
,,,,2016/2017,71,0%
,,,,2017/2018,61,0%
Estonia,A.LeCoq Premium Liiga,Male,Senior,2016,180,52%
,,,,2017,180,98%
,,,,2018,180,99%
,,,,2019,180,98%
,,,,2020,147,99%
Estonia,A.LeCoq Premium Liiga,Male,Senior,2021,156,99%
,,,,2022,180,98%
,,,,2023,180,100%
,,,,2024,180,99%
,Cup,Male,Senior,2015/2016,101,0%
,,,,2016/2017,100,3%
,,,,2017/2018,97,10%
,,,,2018/2019,31,3%
,,,,2019/2020,31,23%
,,,,2020/2021,32,6%
,,,,2021/2022,29,7%
,,,,2022/2023,31,45%
,,,,2023/2024,16,75%
,,,,2024/2025,8,50%
,Esiliiga A,Male,Senior,2016,180,0%
,,,,2017,180,1%
,,,,2023,179,96%
,,,,2024,180,98%
,Esiliiga B,Male,Senior,2016,180,0%
,,,,2017,180,0%
,Esiliiga Women,Female,Senior,2016,80,0%
,,,,2017,56,0%
,II Liiga,Male,Senior,2016,367,0%
,,,,2017,365,0%
,Meistriliiga Women,Female,Senior,2016,80,0%
,,,,2017,80,0%
,Play-offs 1/2,Male,Senior,2015,2,0%
,,,,2016,2,0%
,,,,2018,2,0%
,,,,2019,2,0%
,,,,2020,2,0%
,,,,2021,2,0%
,,,,2022,2,0%
,,,,2023,2,100%
,,,,2024,2,100%
,Play-offs 2/3,Male,Senior,2016,2,0%
,Play-offs 3/4,Male,Senior,2015,2,0%
,,,,2016,2,0%
,Super Cup,Male,Senior,2016,1,0%
,,,,2017,1,100%
,,,,2018,1,0%
,,,,2019,1,100%
,,,,2020,1,100%
,,,,2021,1,100%
,,,,2022,1,100%
,,,,2023,1,100%
Estonia,Super Cup,Male,Senior,2024,1,100%
,Super Cup Women,Female,Senior,2016,1,0%
,,,,2017,1,0%
,U19 League,Male,Youth,2016,60,0%
,,,,2017,24,0%
,Winter Tournament,Male,Senior,2016,44,0%
,,,,2017,59,7%
,,,,2018,39,0%
,,,,2019,74,0%
,,,,2020,91,11%
,,,,2022,20,55%
,Women's Cup,Female,Senior,2015/2016,15,0%
,,,,2016/2017,14,0%
,,,,2017/2018,10,0%
,Women's Play-offs 1/2,Female,Senior,2017,2,0%
Eswatini,Premier League,Male,Senior,2015/2016,132,0%
,,,,2016/2017,132,0%
,,,,2017/2018,106,0%
Ethiopia,Premier League,Male,Senior,2015/2016,181,0%
,,,,2016/2017,240,0%
,,,,2017/2018,51,0%
Europe,All-Island Cup,Female,Senior,2023,27,100%
,,,,2024,31,100%
,Arena Cup,Male,Senior,2019,12,0%
,,,,2021,6,0%
,,,,2022,16,0%
,Baltic Cup,Male,Senior,2018,3,67%
,,,,2020 Estonia,3,0%
,,,,2022,4,100%
,,,,2024,4,100%
,Baltic Cup U17,Male,Youth,2015,2,0%
,Baltic Cup U21,Male,Youth,2024,4,100%
,Centenary Shield U18 Schoolboys,Male,Youth,2016,10,0%
,,,,2017,10,0%
,Czechoslovak Super Cup,Male,Senior,2017,1,100%
,,,,2019,1,100%
,Elite Neon Cup U14,Male,Youth,2022,48,0%
,,,,2023,82,0%
,Elite Neon Cup U15,Male,Youth,2018,5,0%
,,,,2019,8,0%
,Elite Neon Cup U16,Male,Youth,2022,29,0%
,,,,2023,82,0%
,,,,2024,82,46%
",""EMKA RUHR Cup"
"International U19"",Male,Youth,2017,21,0%"
,,,,2019,20,0%
,Euro Youth Cup U17,Male,Senior,2020,20,0%
Europe,Europe 2018 Futsal,Male,Senior,2018,20,0%
,Europe 2018 Qualification..,Male,Senior,2017,6,0%
,FIFA Women's WC Qualification UEFA,Female,Senior,2019 France,170,74%
,,,,2023 Australia - New Zela..,242,95%
,FNL CUP,Male,Senior,2017,40,93%
,,,,2018,40,100%
,,,,2019,40,95%
,,,,2020,39,100%
,Four Nations Tournament,Male,Senior,2015/2016,1,0%
,Future Cup,Male,Senior,2016,12,0%
,,,,2018,10,30%
,,,,2019,18,11%
,Future Talents Cup U17,Male,Youth,2015/2016,48,44%
,,,,2016/2017,40,90%
,,,,2017/2018,18,100%
,Memorial Cele Vilotic U19,Male,Youth,2015,9,0%
,Memorial Františka Harašty,Male,Youth,2019,16,0%
,,,,2020,12,0%
,,,,2021,16,0%
,,,,2022,16,0%
,,,,2023,12,0%
,,,,2024,12,0%
,Orange Veins Cup Chelten..,Male,Youth,2022,20,10%
,Orange Veins Cup Roosen..,Male,Youth,2022,20,70%
,Orange Veins Cup Rotterd..,Male,Youth,2022,40,25%
,Orange Veins U17 Nation..,Male,NULL,2024,2,100%
,Pinatar U19 Supercup,Male,NULL,2024,6,83%
,Premier League International Cup,Male,Youth,2015/2016,31,26%
